Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1960-61,22,CIN,NBA,PG,71,,42.7,10.6,22.5,0.473,9.2,11.2,0.822,,,10.1,*9.7*,,,3.1,30.5
1961-62,23,CIN,NBA,PG,79,,44.3,11,22.9,0.478,8.9,11,0.803,,,12.5,*11.4*,,,3.3,30.8
1962-63,24,CIN,NBA,PG,*80*,,44,10.3,19.9,0.518,7.7,9.5,0.81,,,10.4,9.5,,,3.7,28.3
1963-64,25,CIN,NBA,PG,79,,45.1,10.6,22,0.483,10.1,11.9,*.853*,,,9.9,*11.0*,,,3.5,31.4
1964-65,26,CIN,NBA,PG,75,,*45.6*,10.8,22.4,0.48,8.9,10.6,0.839,,,9,*11.5*,,,2.7,30.4
1965-66,27,CIN,NBA,PG,76,,46,10.8,22.7,0.475,9.8,11.6,0.842,,,7.7,*11.1*,,,3,31.3
1966-67,28,CIN,NBA,PG,79,,43.9,10.6,21.5,0.493,9.3,10.7,0.873,,,6.2,10.7,,,2.9,30.5
1967-68,29,CIN,NBA,PG,65,,42.5,10.2,20.3,0.5,8.9,10.2,*.873*,,,6,*9.7*,,,3.1,*29.2*
1968-69,30,CIN,NBA,PG,79,,43.8,8.3,17.1,0.486,8.1,9.7,0.838,,,6.4,*9.8*,,,2.9,24.7
1969-70,31,CIN,NBA,PG,69,,41.5,9.4,18.4,0.511,6.6,8.1,0.809,,,6.1,8.1,,,2.5,25.3
1970-71,32,MIL,NBA,PG,81,,39.4,7.3,14.7,0.496,4.8,5.6,0.85,,,5.7,8.2,,,2.5,19.4
1971-72,33,MIL,NBA,PG,64,,37.3,6.5,13.9,0.472,4.3,5.2,0.836,,,5,7.7,,,1.8,17.4
1972-73,34,MIL,NBA,PG,73,,37.5,6.1,13.5,0.454,3.3,3.8,0.847,,,4.9,7.5,,,2.3,15.5
1973-74,35,MIL,NBA,PG,70,,35.4,4.8,11,0.438,3,3.6,0.835,1,3,4,6.4,1.1,0.1,1.9,12.7
