Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,21,SYR,NBA,,64,,,5.4,14.1,0.385,5.9,7.6,0.774,,4,3.5,16.8
1950-51,22,SYR,NBA,,66,,,5,14.1,0.357,6.9,9.2,0.752,*16.4*,3.8,4.1,17
1951-52,23,SYR,NBA,PF,63,,31.8,4.2,11.7,0.355,5.4,6.7,0.807,12.3,2.9,3.4,13.8
1952-53,24,SYR,NBA,PF,71,,37.6,5.3,14.1,0.374,7.2,8.7,0.827,13,3.2,3.8,17.8
1953-54,25,SYR,NBA,C,72,,36.9,5.1,13.5,0.38,6.8,8.2,0.827,12.1,3,3.2,17.1
1954-55,26,SYR,NBA,PF,72,,35.1,5.9,15.3,0.383,6.8,8.2,0.833,12.3,3,3.4,18.5
1955-56,27,SYR,NBA,PF,72,,35,6.5,16.7,0.387,7.5,8.8,0.858,12.4,2.8,3.5,20.4
1956-57,28,SYR,NBA,PF,*72*,,*39.6*,6.9,18.2,0.379,8.7,9.6,0.904,14,3.2,3,22.5
1957-58,29,SYR,NBA,PF,*72*,,*40.5*,8.1,20.3,0.398,8.7,9.7,*.904*,14.2,3.1,3.4,24.9
1958-59,30,SYR,NBA,PF,*72*,,36.7,7,18.1,0.387,7.3,8.5,0.864,13.4,2.5,3.9,21.3
1959-60,31,SYR,NBA,PF,75,,36.5,7.7,19.2,0.401,7.1,8,*.893*,12.8,3.4,3.5,22.5
1960-61,32,SYR,NBA,PF,*79*,,38.1,7.5,20.2,0.372,8.6,9.9,0.868,12.2,3.7,3.7,23.6
1961-62,33,SYR,NBA,PF,56,,26.4,4.8,13.4,0.357,5.1,5.7,*.897*,7.8,2.1,3,14.7
1962-63,34,SYR,NBA,PF,66,,21.8,3.4,8.7,0.388,2.7,3.1,0.879,5.7,2.7,2.7,9.5
1963-64,35,PHI,NBA,PF,24,,14.6,1.8,6,0.308,1.9,2.4,0.807,4.6,2,3.2,5.6
